train_acc,train_loss,val_acc,val_loss
0.009600000000000001,4.609349,0.0104,4.607242
0.009326315789473684,4.6068563,0.0092,4.606588
0.009747368421052631,4.606221,0.0084,4.606326
0.009621052631578947,4.6059957,0.0076,4.6067405
0.009894736842105262,4.605887,0.0076,4.6068487
0.009157894736842104,4.6058545,0.008,4.6074386
0.009536842105263158,4.605796,0.007200000000000001,4.6064878
0.009600000000000001,4.605741,0.0072,4.6065044
0.00936842105263158,4.6058245,0.0076,4.606773
0.00911578947368421,4.605722,0.007600000000000001,4.606493
0.009094736842105263,4.605707,0.007200000000000001,4.6067543
0.00991578947368421,4.6056848,0.007200000000000001,4.6068745
0.01031578947368421,4.605694,0.0072,4.6067567
0.009621052631578949,4.6057706,0.0072,4.6070194
0.01031578947368421,4.6056013,0.0064,4.607117
0.010189473684210526,4.605697,0.0064,4.6069283
0.009978947368421053,4.6056433,0.006400000000000001,4.606851
0.009557894736842107,4.605589,0.0064,4.6070666
0.009305263157894737,4.605721,0.008,4.6070356
0.010168421052631578,4.6056194,0.009600000000000001,4.6071076
0.009557894736842105,4.605697,0.0076,4.60696
0.009494736842105262,4.605709,0.0096,4.6069374
0.009726315789473684,4.605528,0.0084,4.6068287
0.00911578947368421,4.6056395,0.0076,4.6071053
0.009536842105263156,4.605607,0.008400000000000001,4.606719
0.009747368421052631,4.6055884,0.0068,4.6069484
0.008652631578947368,4.6056685,0.009200000000000002,4.606356
0.009326315789473684,4.6055827,0.0092,4.606698
0.009347368421052632,4.6056213,0.0072,4.6068487
0.009157894736842104,4.6056814,0.0072,4.60677
0.009305263157894738,4.6055875,0.012,4.60709
0.009852631578947368,4.605738,0.012000000000000002,4.6067123
0.009536842105263156,4.6055703,0.0072,4.6067305
0.00976842105263158,4.6055727,0.007200000000000001,4.606789
0.010147368421052632,4.605598,0.0072,4.6072145
0.00951578947368421,4.6055,0.007200000000000001,4.6072063
0.009578947368421055,4.6055436,0.0072,4.6073027
0.009621052631578949,4.6055703,0.0072,4.6073174
0.009410526315789475,4.6055393,0.0072,4.607261
0.01,4.6055846,0.0072,4.607234
0.009410526315789475,4.6055665,0.0072,4.6072206
0.00928421052631579,4.6056137,0.008,4.607113
0.009010526315789474,4.605636,0.008,4.6071405
0.009347368421052632,4.6055007,0.0076,4.6073475
0.009242105263157895,4.6055603,0.008,4.607163
0.009536842105263158,4.605514,0.006400000000000001,4.606945
0.009747368421052633,4.605547,0.008,4.6073637
0.008926315789473685,4.605603,0.0064,4.6068897
0.009157894736842104,4.6054945,0.0064,4.6070995
0.009621052631578949,4.6055284,0.0076,4.6068535
0.00911578947368421,4.605508,0.008400000000000001,4.606844
0.010336842105263158,4.6054535,0.008,4.6069894
0.009473684210526316,4.605489,0.0064,4.606701
0.009431578947368423,4.605517,0.01,4.6065907
0.008989473684210528,4.605455,0.009600000000000001,4.6065993
0.009431578947368423,4.605539,0.008,4.606353
0.010021052631578946,4.605514,0.008,4.6068974
0.009852631578947368,4.605434,0.0096,4.607153
0.009494736842105262,4.605507,0.0076,4.607402
0.010126315789473685,4.6054626,0.0076,4.6074343
0.009536842105263156,4.6054635,0.0088,4.6072245
0.010063157894736843,4.605499,0.007200000000000001,4.6070733
0.009915789473684211,4.605469,0.0072,4.607107
0.009663157894736842,4.605514,0.007200000000000001,4.606933
0.00936842105263158,4.6054764,0.0072,4.607066
0.009452631578947369,4.605444,0.009600000000000001,4.6069913
0.009347368421052632,4.6054974,0.0076,4.607063
0.009326315789473686,4.6054482,0.0084,4.6070623
0.009326315789473684,4.6055036,0.008400000000000001,4.6069956
0.009747368421052633,4.605487,0.006400000000000001,4.6070127
0.009642105263157895,4.60542,0.0084,4.6070724
0.009410526315789473,4.6054716,0.0072,4.60704
0.009452631578947369,4.6054482,0.0076,4.607127
0.009957894736842107,4.6054244,0.0076,4.607153
0.009557894736842105,4.605462,0.0088,4.607193
0.009136842105263157,4.605442,0.0076,4.60734
0.009578947368421055,4.6054883,0.0076,4.607188
0.009705263157894738,4.6054482,0.008400000000000001,4.60709
0.009978947368421053,4.6054163,0.008,4.6069465
0.009557894736842107,4.6054626,0.008,4.607029
0.00976842105263158,4.605437,0.008,4.607148
0.010021052631578946,4.605424,0.007200000000000001,4.6070523
0.009494736842105262,4.6054726,0.0072,4.6068134
0.009452631578947369,4.6054025,0.0072,4.606697
0.009789473684210527,4.6054564,0.0104,4.6069217
0.009936842105263157,4.605466,0.0108,4.606747
0.009873684210526314,4.605477,0.0076,4.606933
0.008926315789473685,4.6054707,0.0076,4.606989
0.009557894736842107,4.605444,0.0092,4.607065
0.009810526315789474,4.6054387,0.0068000000000000005,4.607103
0.009621052631578949,4.6054597,0.008400000000000001,4.6069636
0.010021052631578946,4.6054296,0.009600000000000001,4.606985
0.010042105263157894,4.6054573,0.007200000000000001,4.60698
0.009705263157894736,4.605441,0.0072,4.6067224
0.009915789473684211,4.6053905,0.0076,4.606569
0.010063157894736842,4.605501,0.006400000000000001,4.606737
0.008715789473684211,4.6054473,0.0064,4.606926
0.00934736842105263,4.605443,0.008,4.606899
0.009894736842105262,4.605478,0.0064,4.606868
0.009473684210526316,4.6054077,0.0064,4.6072273
